#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-01-09T21:16:39 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-01-09T21:16:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/ApJ/772/82/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/772/82/table1&-out=VMag&-out=e_VMag&-out=Ngc&-out=e_Ngc&-out=sigma&-out=e_sigma&-out=logMd&-out=logMB&-out=E_logMB&-out=e_logMB&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17720082
#Name: J/ApJ/772/82
#Title: A catalog of globular cluster systems (Harris+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/772/82	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:2013ApJ...772...82H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/772/82	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17720082	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_772_82_table1:
#Name: J/ApJ/772/82/table1
#Title: Globular cluster systems
#Column	VMag	(F7.3)	[-25/-11]? Absolute visual magnitude (1)	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F6.3)	[0.2/1.5]? Uncertainty in VMag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Ngc	(F7.1)	[0/32500] Number of Globular Clusters (N_GC_)	[ucd=meta.number]
#Column	e_Ngc	(F7.1)	[0/20000] Uncertainty in Ngc	[ucd=stat.error]
#Column	sigma	(F5.1)	[10/414]? Stellar velocity dispersion (3)	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(F4.1)	? Uncertainty in sigma	[ucd=stat.error]
#Column	logMd	(F6.3)	[7.6/12.8]? Log of dynamical mass	[ucd=phys.mass]
#Column	logMB	(F5.2)	? Log of central supermassive black hole mass (6)	[ucd=phys.mass]
#Column	E_logMB	(F5.2)	? Upper uncertainty in logMB	[ucd=stat.error;stat.max]
#Column	e_logMB	(F5.2)	? Lower uncertainty in logMB	[ucd=stat.error]
VMag;e_VMag;Ngc;e_Ngc;sigma;e_sigma;logMd;logMB;E_logMB;e_logMB
-22.760; 0.200; 3613.0;  295.0;246.0; 8.7;11.946;     ;     ;
-22.450; 0.200; 3020.0;  840.0;289.0;11.0;      ;     ;     ;
-16.380; 0.300;    3.0;    1.0;     ;    ;      ;     ;     ;
-20.010; 0.280;  365.0;   25.0;112.4; 4.4;10.674;     ;     ;
-20.860; 0.360;  230.0;   80.0;166.6; 4.2;10.812;     ;     ;
-19.750; 0.240;    7.0;    4.0;     ;    ;      ;     ;     ;
-22.690; 0.200; 7800.0; 2500.0;258.9;13.4;11.570;     ;     ;
-15.760; 0.200;    5.0;    2.0;     ;    ;      ;     ;     ;
-17.010; 0.200;   16.0;    5.0;     ;    ;      ;     ;     ;
-23.160; 0.200; 1000.0;  500.0;227.7; 3.1;11.692; 8.24; 0.17; 0.23
-14.470; 0.200;    3.1;    4.5;     ;    ;      ;     ;     ;
-17.400; 0.200;   22.0;    7.0;     ;    ;      ;     ;     ;
-18.600; 0.200;   37.0;   15.0; 52.9; 4.6; 9.674;     ;     ;
-18.310; 0.200;   21.0;   10.0; 52.9; 4.6; 9.674;     ;     ;
-21.620; 0.200; 1000.0;  500.0;320.9;13.7;11.420; 9.17; 0.06; 0.06
-16.570; 0.200;    9.9;    5.3; 61.0; 5.0;      ;     ;     ;
-19.140; 0.200;  276.0;  100.0;101.2; 3.9;10.344;     ;     ;
-18.430; 0.200;   37.0;   15.0; 45.8; 1.2; 9.369;     ;     ;
-13.130; 0.200;    0.0;    4.0;     ;    ;      ;     ;     ;
-20.010; 0.200;  231.0;   80.0;161.2; 3.2;10.549;     ;     ;
-21.180; 0.200;  280.0;  100.0;166.0; 3.9;10.874;     ;     ;
-17.870; 0.220;   16.0;    8.0;     ;    ;      ;     ;     ;
-20.960; 0.200;  274.0;   90.0;140.2; 3.0;10.830;     ;     ;
-17.770; 0.200;   21.0;    7.0;     ;    ;      ;     ;     ;
-17.880; 0.200;   21.0;    7.0;     ;    ;      ;     ;     ;
-17.070; 0.200;   34.0;   12.0;     ;    ;      ;     ;     ;
-17.490; 0.200;   15.0;    5.0;     ;    ;      ;     ;     ;
-16.810; 0.200;    7.0;    3.0;     ;    ;      ;     ;     ;
-17.390; 0.200;   17.0;    6.0;     ;    ;      ;     ;     ;
-17.870; 0.200;   25.0;    8.0;112.4;22.5;10.418;     ;     ;
-13.030; 0.200;    0.6;    3.4;     ;    ;      ;     ;     ;
-20.430; 0.200;  360.0;   19.0;186.4; 3.9;10.883;     ;     ;
-19.160; 0.200;   86.0;   30.0; 66.1; 1.7; 9.826;     ;     ;
-16.470; 0.200;    9.9;    5.3; 63.0; 3.0;      ;     ;     ;
-19.550; 0.200;   60.0;   20.0; 64.4; 4.4; 9.684;     ;     ;
-18.490; 0.200;   16.0;    5.0; 56.9; 2.8; 9.634;     ;     ;
-20.640; 0.200;  225.0;   23.0;120.1; 2.3;10.572;     ;     ;
-21.510; 0.240;  424.0;  100.0;218.5; 4.8;11.178;     ;     ;
-19.910; 0.230;   71.0;   25.0;151.2; 2.5;10.380;     ;     ;
-15.470; 0.200;    9.9;    4.6;     ;    ;      ;     ;     ;
-18.780; 0.270;   70.0;   25.0; 54.4; 3.7; 9.605;     ;     ;
-17.570; 0.200;   59.0;   20.0; 61.6; 3.2; 9.642;     ;     ;
-20.840; 0.200;  390.0;   27.0;170.2;11.8;10.774;     ;     ;
-13.370; 0.200;    0.6;    4.2;     ;    ;      ;     ;     ;
-18.850; 0.200;  156.0;   50.0; 78.1; 2.9; 9.966;     ;     ;
-20.130; 0.210;   48.0;   16.0;135.1; 6.2;10.411;     ;     ;
-16.930; 0.200;   30.0;   10.0;     ;    ;      ;     ;     ;
-17.360; 0.200;   17.0;    6.0; 67.0; 4.0; 9.722;     ;     ;
-22.030; 0.200; 6000.0;  700.0;337.0;16.0;12.011; 8.69; 0.06; 0.07
-21.590; 0.200;  770.0;  140.0;234.4; 4.2;11.153;     ;     ;
-21.360; 0.200; 2960.0;  958.0;251.5; 4.4;11.310;     ;     ;
-18.500; 0.200;   38.0;   15.0;     ;    ;      ;     ;     ;
-22.860; 0.350; 7000.0; 2000.0;270.6; 6.1;11.850;     ;     ;
-13.470; 0.200;    2.5;    2.5;     ;    ;      ;     ;     ;
-14.370; 0.200;    0.0;    3.3;     ;    ;      ;     ;     ;
-13.070; 0.200;    0.0;    3.4;     ;    ;      ;     ;     ;
-18.970; 0.220;  155.0;   50.0;120.8; 2.8;10.062;     ;     ;
-14.570; 0.200;    5.6;    5.2;     ;    ;      ;     ;     ;
-18.590; 0.200;   80.0;   25.0; 48.2; 7.9; 9.430;     ;     ;
-20.740; 0.240;  500.0;   60.0;162.1; 3.5;10.862;     ;     ;
-18.700; 0.200;   42.0;   13.0; 81.7;10.5; 9.751;     ;     ;
-20.580; 0.240;  240.0;   20.0;150.5; 2.2;10.801;     ;     ;
-16.960; 0.200;   17.0;    6.0; 48.0; 3.0; 9.307;     ;     ;
-20.840; 0.200;  260.0;   30.0;150.2; 5.4;10.972;     ;     ;
-18.490; 0.200;   21.0;    7.0; 46.7; 1.6; 9.284;     ;     ;
-17.360; 0.200;   22.0;    7.0; 27.0;11.0;      ;     ;     ;
-18.900; 0.200;   39.0;   12.0; 60.4; 7.2; 9.815;     ;     ;
-15.470; 0.200;   21.1;    6.9;     ;    ;      ;     ;     ;
-17.220; 0.200;   21.0;    7.0;     ;    ;      ;     ;     ;
-18.180; 0.200;   14.0;    5.0; 53.5; 2.6; 9.626;     ;     ;
-18.320; 0.200;    5.0;    4.0;     ;    ;      ;     ;     ;
-20.270; 0.200;  132.0;   40.0;123.7; 2.3;10.531;     ;     ;
-16.130; 0.200;   11.0;    4.0;     ;    ;      ;     ;     ;
-19.710; 0.200;   55.0;   10.0;106.7; 2.3; 9.838;     ;     ;
-20.980; 0.540;  250.0;   30.0;185.4; 4.9;11.003;     ;     ;
-21.720; 0.270;  140.0;   60.0;202.3; 4.0;11.258;     ;     ;
-21.980; 0.260;  540.0;  160.0;177.2; 4.3;11.177;     ;     ;
-18.960; 0.300;    4.0;    4.0;     ;    ;      ;     ;     ;
-23.330; 0.200; 2850.0;  500.0;334.3; 7.2;12.179;     ;     ;
-14.710; 0.200;    2.0;    2.0;     ;    ;      ;     ;     ;
-17.450; 0.200;    3.0;    2.0;     ;    ;      ;     ;     ;
-22.140; 0.200; 1320.0;  270.0;238.5; 4.2;11.322;     ;     ;
-21.100; 0.200; 6870.0; 1970.0;195.2;10.7;      ;     ;     ;
-22.300; 0.200; 6850.0; 2100.0;311.6;17.6;      ;     ;     ;
-18.360; 0.200;   16.0;    5.0;     ;    ;      ;     ;     ;
-23.700; 0.200;11577.0; 1046.0;269.9;13.1;12.404;     ;     ;
-19.380; 0.210;   27.0;   17.0;     ;    ;      ;     ;     ;
-22.410; 0.290; 2120.0;  780.0;239.9; 4.7;11.662; 0.00; 8.36; 0.00
-15.500; 0.200;    9.0;    3.0;     ;    ;      ;     ;     ;
-14.600; 0.200;    1.0;    1.0;     ;    ;      ;     ;     ;
-21.230; 0.350;  143.0;   40.0;186.9; 6.8;10.972;     ;     ;
-15.330; 0.200;    4.0;    2.0;     ;    ;      ;     ;     ;
-15.120; 0.200;    5.0;    2.0;     ;    ;      ;     ;     ;
-22.460; 0.260; 2690.0;  740.0;245.2; 7.3;11.762;     ;     ;
-14.980; 0.200;    2.0;    2.0;     ;    ;      ;     ;     ;
-13.040; 0.200;    3.0;    2.0;     ;    ;      ;     ;     ;
-19.800; 0.460;  120.0;   40.0;117.5; 9.0;10.429;     ;     ;
-20.570; 0.200;   99.0;   32.0;     ;    ;      ;     ;     ;
-24.190; 0.200;16400.0; 4800.0;346.0; 9.8;12.569;     ;     ;
-22.100; 0.200; 4600.0;  800.0;     ;    ;      ;     ;     ;
-22.030; 0.360;  720.0;  240.0;181.1; 3.7;11.317;     ;     ;
-19.450; 0.360;   50.0;   30.0;175.0; 8.0;10.698; 7.15; 0.30; 0.30
-23.250; 0.200; 4400.0; 1000.0;334.0; 7.4;12.121; 0.00; 9.95; 0.00
-21.500; 0.260;  712.0;  108.0;171.6; 3.5;10.858;     ;     ;
-19.700; 0.200;   58.0;   12.0;     ;    ;      ;     ;     ;
-16.120; 0.200;    3.0;    0.0;     ;    ;      ;     ;     ;
-20.620; 0.310;   35.0;   20.0;     ;    ;      ;     ;     ;
-19.060; 0.410;   23.0;   10.0; 74.5; 3.1; 9.700;     ;     ;
-21.080; 0.200;  300.0;  100.0;143.0; 7.0;10.812; 7.84; 0.11; 0.06
-19.270; 1.440;  130.0;   20.0; 34.8; 3.9; 9.272;     ;     ;
-19.150; 0.200;   14.0;   11.0;     ;    ;      ;     ;     ;
-21.190; 0.200;  550.0;   80.0;230.0;11.0;10.871; 8.96; 0.19; 0.15
-17.640; 0.200;   60.0;   20.0; 29.0;10.0; 9.291;     ;     ;
-11.510; 0.200;    5.0;    2.0;     ;    ;      ;     ;     ;
-19.560; 0.270;  115.0;   15.0; 83.5; 6.8;10.005;     ;     ;
-22.300; 0.200; 2160.0;  780.0;272.2;13.1;11.219;     ;     ;
-20.530; 0.460;  470.0;  200.0;193.5; 5.1;11.136;     ;     ;
-21.850; 0.200; 1330.0;  440.0;261.9; 5.9;11.041;     ;     ;
-21.330; 0.330; 6000.0;  150.0;276.1; 9.4;11.518;     ;     ;
-21.600; 0.340; 4750.0;  150.0;223.5;30.2;11.424;     ;     ;
-20.350; 0.300;   29.0;   16.0;     ;    ;      ;     ;     ;
-21.840; 0.200;16500.0; 2000.0;185.2; 7.0;11.781;     ;     ;
-22.190; 0.310; 3100.0; 1000.0;238.4;10.0;11.444;     ;     ;
-19.950; 0.200;  191.0;   15.0;145.0; 7.0;10.557; 8.25; 0.19; 0.29
-20.900; 0.200;  216.0;   42.0;206.0;10.0;10.849; 8.04; 0.22; 0.26
-20.490; 0.200;  120.0;   30.0;143.0; 7.0;10.426; 7.04; 0.16; 0.26
-14.130; 0.200;    7.5;    4.0;     ;    ;      ;     ;     ;
-21.100; 0.420;  400.0;  200.0;236.8; 7.5;11.122; 8.40; 0.06; 0.08
-17.860; 0.200;   27.0;   14.0;     ;    ;      ;     ;     ;
-20.180; 0.200;  100.0;   50.0;104.5; 2.3;10.082;     ;     ;
-22.100; 0.200; 4880.0; 1400.0;268.3; 7.1;      ;     ;     ;
-23.250; 0.290; 1075.0;  740.0;267.7; 8.3;11.703;     ;     ;
-22.800; 0.300; 6600.0; 1650.0;192.1; 6.7;      ;     ;     ;
-20.500; 0.200;  290.0;   80.0;     ;    ;      ;     ;     ;
-21.810; 0.230;  300.0;  100.0;213.0;10.0;11.256; 8.51; 0.15; 0.13
-19.660; 0.330;   29.0;   10.0; 67.3; 4.4; 9.996;     ;     ;
-21.500; 0.200;  600.0;  200.0;229.0;11.0;11.310; 8.15; 0.10; 0.15
-21.110; 0.200;  450.0;  200.0;182.0; 9.0;11.062; 8.67; 0.09; 0.10
-22.020; 0.270;  400.0;  150.0;162.0; 4.6;10.806;     ;     ;
-22.680; 0.200; 3470.0;  910.0;345.3;13.8;11.522;     ;     ;
-21.210; 0.880;  590.0;   40.0;194.8; 4.7;11.150;     ;     ;
-23.140; 0.200;12000.0; 3000.0;315.0; 8.0;12.205; 9.99; 0.12; 0.13
-17.680; 0.270;   13.0;    5.0; 27.6; 5.7; 8.558;     ;     ;
-22.280; 0.540; 2800.0;  300.0;256.6; 6.3;11.601;     ;     ;
-20.070; 0.310;  190.0;   40.0;     ;    ;      ;     ;     ;
-20.080; 0.370;  160.0;   15.0;143.2;12.3;10.408;     ;     ;
-23.290; 0.200; 8300.0;  500.0;277.2; 8.6;11.383;     ;     ;
-18.040; 0.200;   25.7;    6.4;     ;    ;      ;     ;     ;
-16.830; 0.200;   20.7;    6.5;     ;    ;      ;     ;     ;
-19.110; 0.390;    7.0;    4.0; 85.0; 8.4; 9.899; 0.00; 6.38; 0.00
-19.660; 0.200;   80.0;   20.0; 90.1; 4.3;10.300;     ;     ;
-16.390; 0.200;    2.2;    4.2;     ;    ;      ;     ;     ;
-14.210; 0.200;    2.0;    2.0;     ;    ;      ;     ;     ;
-14.580; 0.200;    2.0;    2.0;     ;    ;      ;     ;     ;
-20.080; 0.420;  175.0;  100.0;162.4; 5.9;10.563; 0.00; 8.08; 0.00
-17.510; 0.200;   21.3;    6.1;     ;    ;      ;     ;     ;
-15.980; 0.200;   10.4;    5.4;     ;    ;      ;     ;     ;
-21.810; 0.200;  620.0;  310.0;206.8; 9.6;11.036;     ;     ;
-17.120; 0.200;   15.5;    5.8;     ;    ;      ;     ;     ;
-16.210; 0.200;   28.7;    6.7;     ;    ;      ;     ;     ;
-13.610; 0.200;    8.5;    4.8;     ;    ;      ;     ;     ;
-17.600; 0.200;    8.0;    3.0;     ;    ;      ;     ;     ;
-22.140; 0.210; 1242.0;  250.0;315.0;15.0;11.836; 8.71; 0.08; 0.09
-19.510; 0.200;  100.0;   31.0;189.7;14.3;10.441;     ;     ;
-16.170; 0.200;   22.0;    7.0;     ;    ;      ;     ;     ;
-20.220; 0.200;  179.0;   17.0;164.7; 5.3;10.905;     ;     ;
-20.970; 0.340; 1100.0;  300.0;237.2; 5.2;11.147; 0.00; 8.23; 0.00
-20.740; 0.380;  950.0;  170.0;242.0;12.0;11.077; 8.98; 0.10; 0.18
-17.820; 0.200;   42.1;    7.9; 47.0; 6.0; 9.785;     ;     ;
-15.880; 0.200;   18.1;    6.2; 23.8; 1.1;      ;     ;     ;
-14.880; 0.200;    2.9;    4.3;     ;    ;      ;     ;     ;
-13.470; 0.200;    4.1;    4.1;     ;    ;      ;     ;     ;
-16.240; 0.200;    0.6;    3.5;     ;    ;      ;     ;     ;
-17.410; 0.200;   18.1;    5.5; 30.5; 2.0; 9.265;     ;     ;
-17.320; 0.200;   10.9;    5.6;     ;    ;      ;     ;     ;
-18.500; 0.210;   18.0;    6.1; 95.0; 3.9; 9.811;     ;     ;
-12.900; 0.200;    5.3;    4.6;     ;    ;      ;     ;     ;
-17.560; 0.430;   45.0;   16.0;116.3; 3.0;10.540;     ;     ;
-20.050; 0.200;  196.0;   60.0;180.5; 7.2;10.793; 8.74; 0.10; 0.10
-18.860; 0.200;  114.0;   12.0; 69.8; 5.9; 9.957;     ;     ;
-22.350; 0.200; 3246.0;  598.0;256.1; 3.4;11.679;     ;     ;
-15.470; 0.200;   16.4;    5.7;     ;    ;      ;     ;     ;
-16.970; 0.200;    9.2;    4.3;     ;    ;      ;     ;     ;
-20.460; 0.200;  200.0;   41.0;137.1; 2.6;10.684;     ;     ;
-22.360; 0.200; 4301.0; 1201.0;296.0;14.0;11.648; 8.96; 0.05; 0.04
-19.480; 0.200;   74.0;   32.0;144.1; 9.8;10.272;     ;     ;
-19.360; 0.200;   50.0;   14.0;115.9; 4.8;10.167;     ;     ;
-22.250; 0.200; 1110.0;  181.0;178.7; 5.0;11.347; 0.00; 7.81; 0.00
-19.270; 0.200;   69.5;    9.8;105.0; 2.5;10.115;     ;     ;
-17.570; 0.200;   43.4;    7.9; 33.6; 1.7; 9.131;     ;     ;
-16.360; 0.200;   18.2;    5.8;     ;    ;      ;     ;     ;
-22.360; 0.200; 2800.0;  200.0;234.8; 3.1;11.814;     ;     ;
-13.970; 0.200;    5.3;    4.6;     ;    ;      ;     ;     ;
-16.960; 0.200;   61.4;    9.5; 32.4; 1.7; 9.233;     ;     ;
-20.000; 0.200;   72.0;   10.0;135.2; 2.7;10.318;     ;     ;
-20.000; 0.200;   72.0;   10.0;135.2; 2.7;10.318;     ;     ;
-16.570; 0.200;   23.1;    6.9;     ;    ;      ;     ;     ;
-16.370; 0.200;   15.4;    5.3; 42.0; 8.0; 9.535;     ;     ;
-15.870; 0.200;    3.5;    4.8;     ;    ;      ;     ;     ;
-18.200; 0.200;   11.0;    5.0; 48.4; 5.2; 9.564;     ;     ;
-19.680; 0.200;  141.0;   34.0;120.2; 2.9;10.281;     ;     ;
-20.400; 0.200;  345.0;   80.0;156.7; 5.8;10.828; 0.00; 6.88; 0.00
-16.690; 0.200;    8.4;    4.5; 28.0;15.0;      ;     ;     ;
-20.560; 0.200;  178.0;   30.0;186.7; 8.6;10.752;     ;     ;
-17.540; 0.200;   19.6;    6.8; 44.5; 2.1; 9.574;     ;     ;
-12.550; 0.200;    1.8;    5.3;     ;    ;      ;     ;     ;
-18.560; 0.240;   12.0;    5.0;     ;    ;      ;     ;     ;
-16.780; 0.200;   16.5;    5.2; 33.0; 9.0; 9.226;     ;     ;
-17.790; 0.200;   66.0;    9.5; 39.1; 1.5; 9.608;     ;     ;
-15.550; 0.200;    4.8;    4.0;     ;    ;      ;     ;     ;
-16.200; 0.200;    8.0;    6.0;     ;    ;      ;     ;     ;
-16.580; 0.200;   25.3;    6.5;     ;    ;      ;     ;     ;
-19.120; 0.200;   52.3;    8.5;268.8;28.7;11.295;     ;     ;
-19.070; 0.200;   72.0;   12.0;102.7; 2.9;10.151;     ;     ;
-20.810; 0.200;  218.0;   28.0;167.0; 8.0;10.904; 7.84; 0.08; 0.08
-16.000; 0.200;   14.0;    9.0;     ;    ;      ;     ;     ;
-18.560; 0.200;   25.3;    9.2;126.9; 3.4; 9.898;     ;     ;
-16.770; 0.200;   14.0;    5.7;     ;    ;      ;     ;     ;
-22.820; 0.200; 7000.0;  800.0;293.8; 2.9;12.007; 9.26; 0.12; 0.18
-20.810; 0.200;  376.0;   97.0;190.0; 9.0;11.005; 7.95; 0.19; 0.29
-19.590; 0.200;  116.0;   24.0; 87.7; 4.0;10.176;     ;     ;
-19.140; 0.200;   20.1;    7.3; 59.8; 6.0; 9.796;     ;     ;
-12.870; 0.200;    7.6;    4.9;     ;    ;      ;     ;     ;
-16.670; 0.200;   26.0;   11.0; 31.4; 1.6; 8.929;     ;     ;
-19.640; 0.200;   35.1;    7.6; 40.3; 4.8; 9.510;     ;     ;
-13.230; 0.200;    2.9;    4.0;     ;    ;      ;     ;     ;
-19.790; 0.200;   58.0;   11.0;137.4; 2.4;10.277;     ;     ;
-18.860; 0.200;   58.6;    9.3; 83.3; 3.7;10.097;     ;     ;
-17.770; 0.200;    4.0;   11.0;169.2; 3.9;10.113; 0.00; 9.00; 0.00
-18.960; 0.200;   72.0;   18.0;     ;    ;      ;     ;     ;
-16.590; 0.200;    8.2;    5.1; 33.6; 1.6; 8.922;     ;     ;
-16.000; 0.200;   20.0;    6.0;     ;    ;      ;     ;     ;
-22.610; 0.200;13000.0;  800.0;375.0;18.0;11.980; 9.77; 0.03; 0.03
-19.030; 0.200;   31.0;    9.0; 53.1; 2.0; 9.533;     ;     ;
-18.700; 0.200;   11.0;   12.0;111.0; 5.0; 9.795; 7.15; 0.13; 0.11
-14.900; 0.200;   11.0;    8.0;     ;    ;      ;     ;     ;
-17.510; 0.200;   10.8;    5.6;     ;    ;      ;     ;     ;
-21.400; 0.200;  392.0;   49.0;150.2; 3.7;10.927;     ;     ;
-12.670; 0.200;    0.0;    3.0;     ;    ;      ;     ;     ;
-17.340; 0.200;   26.6;    7.2; 20.5; 2.1; 8.848;     ;     ;
-16.900; 0.200;   26.0;   12.0;     ;    ;      ;     ;     ;
